campaign_id,pair_key,contrast_id,model_id,inference_seed,pair_reportable,control_condition,treatment_condition,control_status,treatment_status,control_cell_key,treatment_cell_key,control_score,treatment_score,score_delta,control_hard_gate_pass,treatment_hard_gate_pass,hard_gate_rescue,hard_gate_regression,control_forbidden_selection_count,treatment_forbidden_selection_count,forbidden_selection_delta,state_accuracy_delta,amount_accuracy_delta,required_action_recall_delta,required_claim_recall_delta,evidence_coverage_delta
datacenter_development_terms_public_candidate_screen_v1,candidate_screen_minus_baseline__mistral32_deepinfra__seed_316001,candidate_screen_minus_baseline,mistral32_deepinfra,316001,True,baseline,candidate_screen,completed,completed,baseline__mistral32_deepinfra__seed_316001,candidate_screen__mistral32_deepinfra__seed_316001,0.9,0.0,-0.9,True,False,False,True,0,1,1,0.0,0.0,-0.6666666666666666,0.0,0.0
datacenter_development_terms_public_candidate_screen_v1,candidate_screen_minus_baseline__mistral32_deepinfra__seed_316002,candidate_screen_minus_baseline,mistral32_deepinfra,316002,True,baseline,candidate_screen,completed,completed,baseline__mistral32_deepinfra__seed_316002,candidate_screen__mistral32_deepinfra__seed_316002,0.9,0.0,-0.9,True,False,False,True,0,1,1,0.0,0.0,-0.6666666666666666,0.0,0.0
datacenter_development_terms_public_candidate_screen_v1,candidate_screen_minus_baseline__mistral32_deepinfra__seed_316003,candidate_screen_minus_baseline,mistral32_deepinfra,316003,True,baseline,candidate_screen,completed,completed,baseline__mistral32_deepinfra__seed_316003,candidate_screen__mistral32_deepinfra__seed_316003,0.9,0.7666666666666667,-0.1333333333333333,True,True,False,False,0,0,0,0.0,0.0,-0.6666666666666666,0.0,0.0
datacenter_development_terms_public_candidate_screen_v1,candidate_screen_minus_baseline__qwen3_235b_novita__seed_316001,candidate_screen_minus_baseline,qwen3_235b_novita,316001,True,baseline,candidate_screen,completed,completed,baseline__qwen3_235b_novita__seed_316001,candidate_screen__qwen3_235b_novita__seed_316001,0.0,0.0,0.0,False,False,False,False,3,1,-2,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_candidate_screen_v1,candidate_screen_minus_baseline__qwen3_235b_novita__seed_316002,candidate_screen_minus_baseline,qwen3_235b_novita,316002,True,baseline,candidate_screen,completed,completed,baseline__qwen3_235b_novita__seed_316002,candidate_screen__qwen3_235b_novita__seed_316002,0.0,0.0,0.0,False,False,False,False,3,3,0,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_candidate_screen_v1,candidate_screen_minus_baseline__qwen3_235b_novita__seed_316003,candidate_screen_minus_baseline,qwen3_235b_novita,316003,True,baseline,candidate_screen,completed,completed,baseline__qwen3_235b_novita__seed_316003,candidate_screen__qwen3_235b_novita__seed_316003,0.0,0.0,0.0,False,False,False,False,2,1,-1,0.0,0.0,0.0,0.33333333333333337,0.0
datacenter_development_terms_public_candidate_screen_v1,candidate_screen_minus_baseline__gptoss120b_coreweave__seed_316001,candidate_screen_minus_baseline,gptoss120b_coreweave,316001,False,baseline,candidate_screen,completed,operational_failure,baseline__gptoss120b_coreweave__seed_316001,candidate_screen__gptoss120b_coreweave__seed_316001,,,,,,,,,,,,,,,
datacenter_development_terms_public_candidate_screen_v1,candidate_screen_minus_baseline__gptoss120b_coreweave__seed_316002,candidate_screen_minus_baseline,gptoss120b_coreweave,316002,False,baseline,candidate_screen,completed,operational_failure,baseline__gptoss120b_coreweave__seed_316002,candidate_screen__gptoss120b_coreweave__seed_316002,,,,,,,,,,,,,,,
datacenter_development_terms_public_candidate_screen_v1,candidate_screen_minus_baseline__gptoss120b_coreweave__seed_316003,candidate_screen_minus_baseline,gptoss120b_coreweave,316003,False,baseline,candidate_screen,completed,operational_failure,baseline__gptoss120b_coreweave__seed_316003,candidate_screen__gptoss120b_coreweave__seed_316003,,,,,,,,,,,,,,,
datacenter_development_terms_public_candidate_screen_v1,affirm_only_minus_baseline__mistral32_deepinfra__seed_316001,affirm_only_minus_baseline,mistral32_deepinfra,316001,True,baseline,affirm_only,completed,completed,baseline__mistral32_deepinfra__seed_316001,affirm_only__mistral32_deepinfra__seed_316001,0.9,0.9,0.0,True,True,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_candidate_screen_v1,affirm_only_minus_baseline__mistral32_deepinfra__seed_316002,affirm_only_minus_baseline,mistral32_deepinfra,316002,True,baseline,affirm_only,completed,completed,baseline__mistral32_deepinfra__seed_316002,affirm_only__mistral32_deepinfra__seed_316002,0.9,0.9,0.0,True,True,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_candidate_screen_v1,affirm_only_minus_baseline__mistral32_deepinfra__seed_316003,affirm_only_minus_baseline,mistral32_deepinfra,316003,True,baseline,affirm_only,completed,completed,baseline__mistral32_deepinfra__seed_316003,affirm_only__mistral32_deepinfra__seed_316003,0.9,0.9,0.0,True,True,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0
