campaign_id,cell_key,pair_key,case_slug,source_cluster_id,model_id,inference_seed,schema_mode,status,inclusion_status,route_verified,replay_verified,score,hard_gate_pass,forbidden_action_count,forbidden_claim_count,input_tokens,output_tokens,reported_cost_usd,failure_class,failure_condition
datacenter_development_terms_public_integrated_v4,black-pearl-phased-rent-debt-and-overrun__mistral32_deepinfra__seed_321001,black-pearl-phased-rent-debt-and-overrun__seed_321001,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,mistral32_deepinfra,321001,unique_array_items_v1,operational_failure,excluded,False,False,,,0,0,,,,retryable_infrastructure,provider_5xx
datacenter_development_terms_public_integrated_v4,black-pearl-phased-rent-debt-and-overrun__mistral32_deepinfra__seed_321002,black-pearl-phased-rent-debt-and-overrun__seed_321002,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,mistral32_deepinfra,321002,unique_array_items_v1,operational_failure,excluded,False,False,,,0,0,,,,retryable_infrastructure,provider_5xx
datacenter_development_terms_public_integrated_v4,black-pearl-phased-rent-debt-and-overrun__mistral32_deepinfra__seed_321003,black-pearl-phased-rent-debt-and-overrun__seed_321003,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,mistral32_deepinfra,321003,unique_array_items_v1,operational_failure,excluded,False,False,,,0,0,,,,retryable_infrastructure,provider_5xx
datacenter_development_terms_public_integrated_v4,black-pearl-phased-rent-debt-and-overrun__qwen3_235b_google__seed_321001,black-pearl-phased-rent-debt-and-overrun__seed_321001,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,qwen3_235b_google,321001,unique_array_items_v1,completed,included,True,True,0.0,False,1,1,1476,489,0.0007474896,,
datacenter_development_terms_public_integrated_v4,black-pearl-phased-rent-debt-and-overrun__qwen3_235b_google__seed_321002,black-pearl-phased-rent-debt-and-overrun__seed_321002,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,qwen3_235b_google,321002,unique_array_items_v1,completed,included,True,True,0.0,False,1,0,1476,479,0.0007387776,,
datacenter_development_terms_public_integrated_v4,black-pearl-phased-rent-debt-and-overrun__qwen3_235b_google__seed_321003,black-pearl-phased-rent-debt-and-overrun__seed_321003,black-pearl-phased-rent-debt-and-overrun,sec_cipher_black_pearl_2026,qwen3_235b_google,321003,unique_array_items_v1,completed,included,True,True,0.0,False,1,1,1476,511,0.000766656,,
datacenter_development_terms_public_integrated_v4,horizon-tranche-acceptance-financing-guarantees__mistral32_deepinfra__seed_321001,horizon-tranche-acceptance-financing-guarantees__seed_321001,horizon-tranche-acceptance-financing-guarantees,sec_iren_horizon_microsoft_2026,mistral32_deepinfra,321001,unique_array_items_v1,operational_failure,excluded,False,False,,,0,0,,,,retryable_infrastructure,provider_5xx
datacenter_development_terms_public_integrated_v4,horizon-tranche-acceptance-financing-guarantees__mistral32_deepinfra__seed_321002,horizon-tranche-acceptance-financing-guarantees__seed_321002,horizon-tranche-acceptance-financing-guarantees,sec_iren_horizon_microsoft_2026,mistral32_deepinfra,321002,unique_array_items_v1,operational_failure,excluded,False,False,,,0,0,,,,retryable_infrastructure,provider_5xx
datacenter_development_terms_public_integrated_v4,horizon-tranche-acceptance-financing-guarantees__mistral32_deepinfra__seed_321003,horizon-tranche-acceptance-financing-guarantees__seed_321003,horizon-tranche-acceptance-financing-guarantees,sec_iren_horizon_microsoft_2026,mistral32_deepinfra,321003,unique_array_items_v1,operational_failure,excluded,False,False,,,0,0,,,,retryable_infrastructure,provider_5xx
datacenter_development_terms_public_integrated_v4,horizon-tranche-acceptance-financing-guarantees__qwen3_235b_google__seed_321001,horizon-tranche-acceptance-financing-guarantees__seed_321001,horizon-tranche-acceptance-financing-guarantees,sec_iren_horizon_microsoft_2026,qwen3_235b_google,321001,unique_array_items_v1,completed,included,True,True,0.9266666666666667,True,0,0,1587,520,0.0007986726,,
datacenter_development_terms_public_integrated_v4,horizon-tranche-acceptance-financing-guarantees__qwen3_235b_google__seed_321002,horizon-tranche-acceptance-financing-guarantees__seed_321002,horizon-tranche-acceptance-financing-guarantees,sec_iren_horizon_microsoft_2026,qwen3_235b_google,321002,unique_array_items_v1,completed,included,True,True,0.9666666666666668,True,0,0,1587,535,0.0008117406,,
datacenter_development_terms_public_integrated_v4,horizon-tranche-acceptance-financing-guarantees__qwen3_235b_google__seed_321003,horizon-tranche-acceptance-financing-guarantees__seed_321003,horizon-tranche-acceptance-financing-guarantees,sec_iren_horizon_microsoft_2026,qwen3_235b_google,321003,unique_array_items_v1,completed,included,True,True,0.9266666666666667,True,0,0,1587,520,0.0007986726,,
datacenter_development_terms_public_integrated_v4,polaris-forge-contract-to-cashflow-boundary__mistral32_deepinfra__seed_321001,polaris-forge-contract-to-cashflow-boundary__seed_321001,polaris-forge-contract-to-cashflow-boundary,sec_apld_polaris_forge_2026,mistral32_deepinfra,321001,unique_array_items_v1,operational_failure,excluded,False,False,,,0,0,,,,retryable_infrastructure,provider_5xx
datacenter_development_terms_public_integrated_v4,polaris-forge-contract-to-cashflow-boundary__mistral32_deepinfra__seed_321002,polaris-forge-contract-to-cashflow-boundary__seed_321002,polaris-forge-contract-to-cashflow-boundary,sec_apld_polaris_forge_2026,mistral32_deepinfra,321002,unique_array_items_v1,operational_failure,excluded,False,False,,,0,0,,,,retryable_infrastructure,provider_5xx
datacenter_development_terms_public_integrated_v4,polaris-forge-contract-to-cashflow-boundary__mistral32_deepinfra__seed_321003,polaris-forge-contract-to-cashflow-boundary__seed_321003,polaris-forge-contract-to-cashflow-boundary,sec_apld_polaris_forge_2026,mistral32_deepinfra,321003,unique_array_items_v1,operational_failure,excluded,False,False,,,0,0,,,,retryable_infrastructure,provider_5xx
datacenter_development_terms_public_integrated_v4,polaris-forge-contract-to-cashflow-boundary__qwen3_235b_google__seed_321001,polaris-forge-contract-to-cashflow-boundary__seed_321001,polaris-forge-contract-to-cashflow-boundary,sec_apld_polaris_forge_2026,qwen3_235b_google,321001,unique_array_items_v1,completed,included,True,True,1.0,True,0,0,1421,394,0.0006527466,,
datacenter_development_terms_public_integrated_v4,polaris-forge-contract-to-cashflow-boundary__qwen3_235b_google__seed_321002,polaris-forge-contract-to-cashflow-boundary__seed_321002,polaris-forge-contract-to-cashflow-boundary,sec_apld_polaris_forge_2026,qwen3_235b_google,321002,unique_array_items_v1,completed,included,True,True,1.0,True,0,0,1421,394,0.0006527466,,
datacenter_development_terms_public_integrated_v4,polaris-forge-contract-to-cashflow-boundary__qwen3_235b_google__seed_321003,polaris-forge-contract-to-cashflow-boundary__seed_321003,polaris-forge-contract-to-cashflow-boundary,sec_apld_polaris_forge_2026,qwen3_235b_google,321003,unique_array_items_v1,completed,included,True,True,1.0,True,0,0,1421,394,0.0006527466,,
