campaign_id,pair_key,case_slug,source_cluster_id,model_id,inference_seed,pair_reportable,baseline_status,affirm_only_status,baseline_cell_key,affirm_only_cell_key,baseline_score,affirm_only_score,score_delta,baseline_hard_gate_pass,affirm_only_hard_gate_pass,hard_gate_rescue,hard_gate_regression,baseline_forbidden_selection_count,affirm_only_forbidden_selection_count,forbidden_selection_delta,state_accuracy_delta,amount_accuracy_delta,required_action_recall_delta,required_claim_recall_delta,evidence_coverage_delta
datacenter_development_terms_public_affirm_only_v1,credit-facility-availability-and-rounding__gptoss120b_coreweave__seed_314001,credit-facility-availability-and-rounding,sec_enovum_credit_facility_2025,gptoss120b_coreweave,314001,True,completed,completed,credit-facility-availability-and-rounding__gptoss120b_coreweave__seed_314001,credit-facility-availability-and-rounding__gptoss120b_coreweave__seed_314001,0.5549999999999999,0.6216666666666667,0.06666666666666676,True,True,False,False,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0
datacenter_development_terms_public_affirm_only_v1,credit-facility-availability-and-rounding__gptoss120b_coreweave__seed_314002,credit-facility-availability-and-rounding,sec_enovum_credit_facility_2025,gptoss120b_coreweave,314002,True,completed,completed,credit-facility-availability-and-rounding__gptoss120b_coreweave__seed_314002,credit-facility-availability-and-rounding__gptoss120b_coreweave__seed_314002,0.5549999999999999,0.6216666666666667,0.06666666666666676,True,True,False,False,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0
datacenter_development_terms_public_affirm_only_v1,credit-facility-availability-and-rounding__gptoss120b_coreweave__seed_314003,credit-facility-availability-and-rounding,sec_enovum_credit_facility_2025,gptoss120b_coreweave,314003,True,completed,completed,credit-facility-availability-and-rounding__gptoss120b_coreweave__seed_314003,credit-facility-availability-and-rounding__gptoss120b_coreweave__seed_314003,0.5549999999999999,0.6216666666666667,0.06666666666666676,True,True,False,False,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0
datacenter_development_terms_public_affirm_only_v1,credit-facility-availability-and-rounding__mistral32_deepinfra__seed_314001,credit-facility-availability-and-rounding,sec_enovum_credit_facility_2025,mistral32_deepinfra,314001,True,completed,completed,credit-facility-availability-and-rounding__mistral32_deepinfra__seed_314001,credit-facility-availability-and-rounding__mistral32_deepinfra__seed_314001,0.6683333333333333,0.6683333333333333,0.0,True,True,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_affirm_only_v1,credit-facility-availability-and-rounding__mistral32_deepinfra__seed_314002,credit-facility-availability-and-rounding,sec_enovum_credit_facility_2025,mistral32_deepinfra,314002,True,completed,completed,credit-facility-availability-and-rounding__mistral32_deepinfra__seed_314002,credit-facility-availability-and-rounding__mistral32_deepinfra__seed_314002,0.6683333333333333,0.6683333333333333,0.0,True,True,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_affirm_only_v1,credit-facility-availability-and-rounding__mistral32_deepinfra__seed_314003,credit-facility-availability-and-rounding,sec_enovum_credit_facility_2025,mistral32_deepinfra,314003,True,completed,completed,credit-facility-availability-and-rounding__mistral32_deepinfra__seed_314003,credit-facility-availability-and-rounding__mistral32_deepinfra__seed_314003,0.6683333333333333,0.6683333333333333,0.0,True,True,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0
datacenter_development_terms_public_affirm_only_v1,credit-facility-availability-and-rounding__qwen3_235b_novita__seed_314001,credit-facility-availability-and-rounding,sec_enovum_credit_facility_2025,qwen3_235b_novita,314001,True,completed,completed,credit-facility-availability-and-rounding__qwen3_235b_novita__seed_314001,credit-facility-availability-and-rounding__qwen3_235b_novita__seed_314001,0.8083333333333332,0.635,-0.17333333333333323,True,True,False,False,0,0,0,-0.19999999999999996,0.0,-0.6666666666666666,0.0,0.0
datacenter_development_terms_public_affirm_only_v1,credit-facility-availability-and-rounding__qwen3_235b_novita__seed_314002,credit-facility-availability-and-rounding,sec_enovum_credit_facility_2025,qwen3_235b_novita,314002,True,completed,completed,credit-facility-availability-and-rounding__qwen3_235b_novita__seed_314002,credit-facility-availability-and-rounding__qwen3_235b_novita__seed_314002,0.8083333333333332,0.6083333333333333,-0.19999999999999996,True,True,False,False,0,0,0,0.0,0.0,-0.6666666666666666,-0.33333333333333337,0.0
datacenter_development_terms_public_affirm_only_v1,credit-facility-availability-and-rounding__qwen3_235b_novita__seed_314003,credit-facility-availability-and-rounding,sec_enovum_credit_facility_2025,qwen3_235b_novita,314003,True,completed,completed,credit-facility-availability-and-rounding__qwen3_235b_novita__seed_314003,credit-facility-availability-and-rounding__qwen3_235b_novita__seed_314003,0.675,0.595,-0.08000000000000007,True,True,False,False,0,0,0,-0.4,0.0,0.0,0.0,0.0
datacenter_development_terms_public_affirm_only_v1,ground-lease-commencement-boundary__gptoss120b_coreweave__seed_314001,ground-lease-commencement-boundary,sec_fermi_ground_lease_2025,gptoss120b_coreweave,314001,True,completed,completed,ground-lease-commencement-boundary__gptoss120b_coreweave__seed_314001,ground-lease-commencement-boundary__gptoss120b_coreweave__seed_314001,0.6933333333333334,0.96,0.2666666666666666,True,True,False,False,0,0,0,0.0,0.0,1.0,0.33333333333333337,0.0
